Date,Open,High,Low,Close,Volume,Currency,H-L,O-C,SMA_7,SMA_14,SMA_21,SD_7,SD_21
2016-04-15,8.39,8.69,8.1,8.32,30478,USD,0.5899999999999999,0.07000000000000028,8.427142857142858,9.606428571428571,10.199047619047619,0.5209515104023429,1.4309119636158734
2016-04-16,8.23,8.68,8.18,8.54,29257,USD,0.5,-0.3099999999999987,8.34,9.387142857142859,10.081904761904761,0.42138660000843986,1.462411088058408
2016-04-17,8.7,10.9,8.61,9.46,96047,USD,2.290000000000001,-0.7600000000000016,8.440000000000001,9.223571428571429,10.037142857142857,0.5878491870086009,1.466567907930422
2016-04-18,9.3,9.55,8.44,8.97,37877,USD,1.1100000000000012,0.33000000000000007,8.481428571428571,9.067857142857143,9.91095238095238,0.6170745112066764,1.4372783473005613
2016-04-19,8.97,9.38,8.65,8.71,35259,USD,0.7300000000000004,0.2599999999999998,8.65,8.947142857142858,9.764285714285714,0.4532843110749282,1.3923920835331185
2016-04-20,8.73,9.05,8.35,8.61,167706,USD,0.7000000000000011,0.120000000000001,8.724285714285715,8.793571428571429,9.61,0.3834430484812271,1.3277311474843028
2016-04-21,8.61,8.8,8.0,8.11,45521,USD,0.8000000000000007,0.5,8.674285714285714,8.65,9.452857142857145,0.4419976298148108,1.2990155613276582
2016-04-22,8.23,8.41,7.73,7.97,97367,USD,0.6799999999999997,0.2600000000000007,8.624285714285714,8.525714285714285,9.27904761904762,0.504177784214303,1.23727080609664
2016-04-23,7.95,8.8,7.81,8.46,89572,USD,0.9900000000000011,-0.5100000000000007,8.612857142857143,8.476428571428572,9.129047619047618,0.507303797400679,1.1265385246936865
2016-04-24,8.35,8.5,8.01,8.1,52056,USD,0.4900000000000002,0.25,8.418571428571429,8.429285714285715,8.955238095238096,0.3708741283072018,0.9730602193472762
2016-04-25,8.05,8.15,7.32,7.54,207064,USD,0.8300000000000001,0.5100000000000007,8.214285714285714,8.347857142857142,8.783333333333335,0.4084465343574126,0.8804052097377153
2016-04-26,7.56,7.6,7.12,7.5,129269,USD,0.47999999999999954,0.05999999999999961,8.041428571428572,8.345714285714285,8.645238095238096,0.41958028915528217,0.8406879269242342
2016-04-27,7.4,7.99,7.31,7.8,90465,USD,0.6800000000000006,-0.39999999999999947,7.925714285714286,8.325,8.504285714285714,0.34097199996761773,0.7056951992791857
2016-04-28,7.73,7.87,7.25,7.33,69398,USD,0.6200000000000001,0.40000000000000036,7.814285714285715,8.244285714285715,8.371428571428572,0.3940328726920106,0.64644632966924
2016-04-29,7.23,7.72,7.19,7.52,51163,USD,0.5299999999999994,-0.28999999999999915,7.75,8.187142857142856,8.267142857142858,0.40104031385054983,0.5942486252162494
2016-04-30,7.45,9.36,7.45,8.87,267967,USD,1.9099999999999993,-1.419999999999999,7.808571428571428,8.210714285714285,8.253809523809522,0.5309246202437458,0.5763200169217929
2016-05-01,8.74,9.0,8.35,8.75,71992,USD,0.6500000000000004,-0.009999999999999787,7.901428571428572,8.16,8.253333333333334,0.6366953371754539,0.5758848264482292
2016-05-02,8.83,10.3,8.79,10.0,295376,USD,1.5100000000000016,-1.17,8.252857142857144,8.233571428571429,8.316190476190476,0.9866731016521225,0.6862468665901039
2016-05-03,10.01,10.01,9.18,9.34,128321,USD,0.8300000000000001,0.6699999999999999,8.515714285714285,8.278571428571428,8.402380952380952,0.9977116674814325,0.6961602169177883
2016-05-04,9.38,10.0,9.25,9.46,74704,USD,0.75,-0.08000000000000007,8.752857142857142,8.339285714285714,8.467619047619047,0.9965225250124311,0.7288477533881973
2016-05-05,9.4,10.0,9.3,9.79,62437,USD,0.6999999999999993,-0.3899999999999988,9.104285714285714,8.459285714285715,8.530952380952382,0.8311609780473213,0.7838616253006793
2016-05-06,9.85,9.98,9.12,9.35,92421,USD,0.8600000000000012,0.5,9.365714285714287,8.557857142857143,8.58,0.4503649313929536,0.8020162093124894
2016-05-07,9.45,9.64,9.2,9.35,31388,USD,0.4400000000000013,0.09999999999999964,9.434285714285712,8.62142857142857,8.618571428571428,0.3955105199973571,0.8192880184299243
2016-05-08,9.41,9.64,9.0,9.5,80087,USD,0.6400000000000006,-0.08999999999999986,9.54142857142857,8.721428571428572,8.620476190476191,0.2563479777846786,0.8213858788077237
2016-05-09,9.51,9.65,9.25,9.32,77287,USD,0.40000000000000036,0.1899999999999995,9.444285714285714,8.848571428571429,8.637142857142857,0.16681897802282503,0.832310896583364
2016-05-10,9.31,9.47,9.28,9.38,18319,USD,0.19000000000000128,-0.07000000000000028,9.450000000000001,8.982857142857142,8.669047619047618,0.1632993161855707,0.8479381154418182
2016-05-11,9.38,9.98,9.3,9.89,110306,USD,0.6799999999999997,-0.5099999999999998,9.51142857142857,9.132142857142856,8.73,0.23348294523218227,0.888515616069844
2016-05-12,9.92,10.47,9.79,10.04,142191,USD,0.6800000000000015,-0.11999999999999922,9.547142857142857,9.325714285714286,8.821904761904761,0.294375853047004,0.9204217459817886
2016-05-13,10.09,11.11,10.08,10.6,194278,USD,1.0299999999999994,-0.5099999999999998,9.725714285714286,9.545714285714286,8.947142857142856,0.47720914851727186,0.975961796676182
2016-05-14,10.6,10.75,9.71,10.16,121860,USD,1.0399999999999991,0.4399999999999995,9.84142857142857,9.637857142857143,9.028095238095238,0.46905680435773844,1.0036464469504005
2016-05-15,10.25,10.42,9.93,9.97,42732,USD,0.4900000000000002,0.27999999999999936,9.90857142857143,9.725,9.117142857142856,0.44506286340354234,1.0001357050777664
2016-05-16,10.01,11.47,10.0,11.09,257208,USD,1.4700000000000006,-1.08,10.161428571428571,9.802857142857144,9.286190476190475,0.5462425764996341,1.0200513525821793
2016-05-17,11.15,12.6,11.1,12.08,540974,USD,1.5,-0.9299999999999997,10.547142857142857,9.998571428571427,9.504285714285714,0.7978244227421305,1.1051270127391175
2016-05-18,12.28,14.4,12.21,13.35,420067,USD,2.1899999999999995,-1.0700000000000003,11.041428571428572,10.27642857142857,9.768571428571429,1.2604949896955648,1.3199291106505788
2016-05-19,13.4,14.65,13.2,14.58,393145,USD,1.450000000000001,-1.1799999999999997,11.69,10.618571428571428,10.113809523809524,1.737200813569539,1.5739201891788328
2016-05-20,14.74,14.89,13.31,13.79,338688,USD,1.58,0.9500000000000011,12.145714285714286,10.935714285714285,10.412380952380952,1.8200444787866876,1.650136069425494
2016-05-21,13.6,14.0,13.01,14.0,209034,USD,0.9900000000000002,-0.40000000000000036,12.694285714285714,11.267857142857142,10.656666666666668,1.696278840509987,1.7846269451438035
2016-05-22,14.06,14.51,13.62,14.21,118188,USD,0.8900000000000006,-0.15000000000000036,13.299999999999999,11.604285714285714,10.916666666666666,1.2630386639634863,1.8877111360940013
2016-05-23,14.21,14.49,13.32,13.42,170093,USD,1.17,0.7900000000000009,13.632857142857144,11.897142857142857,11.07952380952381,0.8089440500989404,1.9511342244716878
2016-05-24,13.38,13.82,12.0,12.73,437472,USD,1.8200000000000003,0.6500000000000004,13.725714285714288,12.13642857142857,11.24095238095238,0.615057101491592,1.9402239684167961
2016-05-25,12.84,12.99,11.8,12.49,247583,USD,1.1899999999999995,0.34999999999999964,13.602857142857143,12.322142857142856,11.385238095238096,0.7691925265219,1.9136421270645574
2016-05-26,12.52,13.07,12.13,12.48,215635,USD,0.9399999999999995,0.03999999999999915,13.302857142857144,12.496428571428572,11.513333333333334,0.7332510776379025,1.8914236260904922
2016-05-27,12.4,12.43,10.53,11.12,645838,USD,1.9000000000000004,1.2800000000000011,12.921428571428573,12.53357142857143,11.597619047619048,1.0594877468448098,1.828594828719315
2016-05-28,10.99,12.5,10.38,11.98,587073,USD,2.119999999999999,-0.9900000000000002,12.632857142857144,12.663571428571428,11.722857142857142,0.9895405379217593,1.7555658428470866
2016-05-29,11.8,12.89,11.78,12.41,455109,USD,1.1100000000000012,-0.6099999999999994,12.375714285714285,12.837857142857143,11.861428571428572,0.7041036179156551,1.684756023032068
2016-05-30,12.44,12.81,12.3,12.72,122980,USD,0.5099999999999998,-0.28000000000000114,12.275714285714285,12.954285714285714,12.023333333333333,0.5675343497051516,1.5889598274762347
2016-05-31,12.78,14.28,12.6,14.01,517983,USD,1.6799999999999997,-1.2300000000000004,12.458571428571428,13.092142857142859,12.243809523809524,0.8660144065666355,1.5237239782535204
